Referencia;Sheet;Tipo;Valor
AUM & AUA (R$ bilhões) - Merchant banking e imobiliários;InputSite_BusinessAreas ;2Q12;6,6701
AUM & AUA (R$ bilhões) - Hedge funds globais;InputSite_BusinessAreas ;2Q12;8,3536
AUM & AUA (R$ bilhões) - Total;InputSite_BusinessAreas ;2Q12;132,4738
AUM & AUA (R$ bilhões) - Indivíduos de alto patrimônio;InputSite_BusinessAreas ;2Q12;22,6303
AUM & AUA (R$ bilhões) - Institucionais;InputSite_BusinessAreas ;2Q12;21,7180
AUM & AUA (R$ bilhões) - Intermediários financeiros (distribuição para terceiros);InputSite_BusinessAreas ;2Q12;15,9751
AUM & AUA (R$ bilhões) - Empresas;InputSite_BusinessAreas ;2Q12;28,5718
AUM & AUA (R$ bilhões) - Administração fiduciária;InputSite_BusinessAreas ;2Q12;21,0670
AUM & AUA (R$ bilhões) - Outros;InputSite_BusinessAreas ;2Q12;22,5116
AUM & AUA (R$ bilhões) - Total;InputSite_BusinessAreas ;2Q12;132,4738
AUM & AUA (R$ bilhões) - Net New Money (NNM);InputSite_BusinessAreas ;2Q12;-1,6556
Wealth Management & Consumer Banking - Receitas (BTGP Only);InputSite_BusinessAreas ;2Q12;35,5141
Wealth Management & Consumer Banking - Receitas (BSI);InputSite_BusinessAreas ;2Q12;0,0000
Wealth Management & Consumer Banking - Receitas;InputSite_BusinessAreas ;2Q12;35,5141
Wealth Under Management (WuM) (R$ bilhões) - Fundos;InputSite_BusinessAreas ;2Q12;24,1680
Wealth Under Management (WuM) (R$ bilhões) - Ações;InputSite_BusinessAreas ;2Q12;9,0724
Wealth Under Management (WuM) (R$ bilhões) - Renda Fixa;InputSite_BusinessAreas ;2Q12;6,9118
Wealth Under Management (WuM) (R$ bilhões) - Money Market;InputSite_BusinessAreas ;2Q12;0,6569
Wealth Under Management (WuM) (R$ bilhões) - Derivativos;InputSite_BusinessAreas ;2Q12;0,0289
Wealth Under Management (WuM) (R$ bilhões) - Outros;InputSite_BusinessAreas ;2Q12;0,0000
Wealth Under Management (WuM) (R$ bilhões) - Total;InputSite_BusinessAreas ;2Q12;40,8381
Wealth Under Management (WuM) (R$ bilhões) - BTG Pactual;InputSite_BusinessAreas ;2Q12;40,8381
Wealth Under Management (WuM) (R$ bilhões) - BSI;InputSite_BusinessAreas ;2Q12;0,0000
Wealth Under Management (WuM) (R$ bilhões) - Total;InputSite_BusinessAreas ;2Q12;40,8381
Wealth Under Management (WuM) (R$ bilhões) - NNM BTG Pactual Stand-Alone;InputSite_BusinessAreas ;2Q12;0,6348
Wealth Under Management (WuM) (R$ bilhões) - NNM BSI Only;InputSite_BusinessAreas ;2Q12;0,0000
Principal Investments - Receitas;InputSite_BusinessAreas ;2Q12;0,0000
Participations* - Receitas;InputSite_BusinessAreas ;2Q12;-97,7107
Interest & Others - Receitas;InputSite_BusinessAreas ;2Q12;196,0245
Investment Banking - Receitas;InputSite_BusinessAreas ;3Q12;148,2389
Número de transações - Financial advisory (M&A);InputSite_BusinessAreas ;3Q12;15,0000
Número de transações - Equity underwriting (ECM);InputSite_BusinessAreas ;3Q12;1,0000
Número de transações - Debt underwriting (DCM);InputSite_BusinessAreas ;3Q12;6,0000
Valor (US$ mm) - Financial advisory (M&A);InputSite_BusinessAreas ;3Q12;3139,9700
Valor (US$ mm) - Equity underwriting (ECM);InputSite_BusinessAreas ;3Q12;173,5000
Valor (US$ mm) - Debt underwriting (DCM);InputSite_BusinessAreas ;3Q12;1233,0081
Corporate & SME Lending - Receitas;InputSite_BusinessAreas ;3Q12;139,8842
Por Área - Corporate Lending;InputSite_BusinessAreas ;3Q12;26115,8771
Por Setor - Utilities;InputSite_BusinessAreas ;3Q12;0,1713
Por Setor - WM, Payroll and Consumer;InputSite_BusinessAreas ;3Q12;0,0000
Por Setor - Financials;InputSite_BusinessAreas ;3Q12;0,0008
Por Setor - Agribusiness;InputSite_BusinessAreas ;3Q12;0,0814
Por Setor - Retail;InputSite_BusinessAreas ;3Q12;0,0244
Por Setor - Real Estate;InputSite_BusinessAreas ;3Q12;0,1134
Por Setor - Oil & Gas;InputSite_BusinessAreas ;3Q12;0,0519
Por Setor - Food & Beverage;InputSite_BusinessAreas ;3Q12;0,0325
Por Setor - Metals & Mining;InputSite_BusinessAreas ;3Q12;0,0409
Por Setor - Water & Sewage;InputSite_BusinessAreas ;3Q12;0,0000
Por Setor - Infrastructure;InputSite_BusinessAreas ;3Q12;0,1320
Por Setor - Telecom;InputSite_BusinessAreas ;3Q12;0,0112
Por Setor - Government;InputSite_BusinessAreas ;3Q12;0,0000
Por Setor - Auto-Parts;InputSite_BusinessAreas ;3Q12;0,0017
Por Setor - Forest Products & Paper;InputSite_BusinessAreas ;3Q12;0,0000
Por Setor - Healthcare;InputSite_BusinessAreas ;3Q12;0,0000
Por Setor - Petrochemicals;InputSite_BusinessAreas ;3Q12;0,0057
Por Setor - Wealth Management;InputSite_BusinessAreas ;3Q12;0,0148
Por Setor - Outros;InputSite_BusinessAreas ;3Q12;0,3180
Por Setor - Total;InputSite_BusinessAreas ;3Q12;1,0000
Por Produto - Empréstimos;InputSite_BusinessAreas ;3Q12;6848,3059
Por Produto - Fundos;InputSite_BusinessAreas ;3Q12;3228,9898
Por Produto - Fianças;InputSite_BusinessAreas ;3Q12;7898,1099
Por Produto - Instrumentos financeiros;InputSite_BusinessAreas ;3Q12;10738,9454
Por Produto - Total;InputSite_BusinessAreas ;3Q12;28714,3511
Por Área - Corporate & SME Lending;InputSite_BusinessAreas ;3Q12;26115,8771
Por Área - Corporate Lending;InputSite_BusinessAreas ;3Q12;26115,8771
Por Área - SME Lending;InputSite_BusinessAreas ;3Q12;0,0000
Por Área - Wealth Management;InputSite_BusinessAreas ;3Q12;420,5051
Por Área - Liquidity Management;InputSite_BusinessAreas ;3Q12;1642,6646
Por Área - Merchant Banking;InputSite_BusinessAreas ;3Q12;534,8343
Por Área - Celfin;InputSite_BusinessAreas ;3Q12;0,0000
Por Área - Commodities;InputSite_BusinessAreas ;3Q12;0,0000
Por Área - Outros;InputSite_BusinessAreas ;3Q12;0,0000
Por Área - Wealth Management e Outros;InputSite_BusinessAreas ;3Q12;2598,0039
Por Área - Total;InputSite_BusinessAreas ;3Q12;28713,8811
Por classificação de risco - AA;InputSite_BusinessAreas ;3Q12;10901,0975
Por classificação de risco - A;InputSite_BusinessAreas ;3Q12;14614,0017
Por classificação de risco - B;InputSite_BusinessAreas ;3Q12;1567,9187
Por classificação de risco - C;InputSite_BusinessAreas ;3Q12;874,6584
Por classificação de risco - D;InputSite_BusinessAreas ;3Q12;91,8721
Por classificação de risco - E;InputSite_BusinessAreas ;3Q12;536,2855
Por classificação de risco - F;InputSite_BusinessAreas ;3Q12;0,0000
Por classificação de risco - G;InputSite_BusinessAreas ;3Q12;34,2321
Por classificação de risco - H;InputSite_BusinessAreas ;3Q12;93,6034
Por classificação de risco - Total;InputSite_BusinessAreas ;3Q12;28713,6695
Portfolio BSI por Produto - Due from customers;InputSite_BusinessAreas ;3Q12;0,0000
Portfolio BSI por Produto - Mortgage;InputSite_BusinessAreas ;3Q12;0,0000
Portfolio BSI por Produto - Fiança;InputSite_BusinessAreas ;3Q12;0,0000
Portfolio BSI por Produto - Total;InputSite_BusinessAreas ;3Q12;0,0000
Portfolio BSI por Produto - Provisão;InputSite_BusinessAreas ;3Q12;-140,7884
Sales & Trading - Receitas;InputSite_BusinessAreas ;3Q12;406,8320
Asset Management - Receitas;InputSite_BusinessAreas ;3Q12;204,6012
AUM & AUA (R$ bilhões) - Renda fixa e ações;InputSite_BusinessAreas ;3Q12;87,3106
AUM & AUA (R$ bilhões) - Administração fiduciária;InputSite_BusinessAreas ;3Q12;36,5863
AUM & AUA (R$ bilhões) - Merchant banking e imobiliários;InputSite_BusinessAreas ;3Q12;17,3004
AUM & AUA (R$ bilhões) - Hedge funds globais;InputSite_BusinessAreas ;3Q12;9,4055
AUM & AUA (R$ bilhões) - Total;InputSite_BusinessAreas ;3Q12;150,6028
AUM & AUA (R$ bilhões) - Indivíduos de alto patrimônio;InputSite_BusinessAreas ;3Q12;24,3285
AUM & AUA (R$ bilhões) - Institucionais;InputSite_BusinessAreas ;3Q12;21,4391
AUM & AUA (R$ bilhões) - Intermediários financeiros (distribuição para terceiros);InputSite_BusinessAreas ;3Q12;18,1714
AUM & AUA (R$ bilhões) - Empresas;InputSite_BusinessAreas ;3Q12;30,3491
AUM & AUA (R$ bilhões) - Administração fiduciária;InputSite_BusinessAreas ;3Q12;22,5158
AUM & AUA (R$ bilhões) - Outros;InputSite_BusinessAreas ;3Q12;33,7989
AUM & AUA (R$ bilhões) - Total;InputSite_BusinessAreas ;3Q12;150,6028
AUM & AUA (R$ bilhões) - Net New Money (NNM);InputSite_BusinessAreas ;3Q12;4,2583
Wealth Management & Consumer Banking - Receitas (BTGP Only);InputSite_BusinessAreas ;3Q12;55,0847
Wealth Management & Consumer Banking - Receitas (BSI);InputSite_BusinessAreas ;3Q12;0,0000
Wealth Management & Consumer Banking - Receitas;InputSite_BusinessAreas ;3Q12;55,0931
Wealth Under Management (WuM) (R$ bilhões) - Fundos;InputSite_BusinessAreas ;3Q12;25,8717
Wealth Under Management (WuM) (R$ bilhões) - Ações;InputSite_BusinessAreas ;3Q12;9,8351
Wealth Under Management (WuM) (R$ bilhões) - Renda Fixa;InputSite_BusinessAreas ;3Q12;7,6180
Wealth Under Management (WuM) (R$ bilhões) - Money Market;InputSite_BusinessAreas ;3Q12;0,1397
Wealth Under Management (WuM) (R$ bilhões) - Derivativos;InputSite_BusinessAreas ;3Q12;0,0374
Wealth Under Management (WuM) (R$ bilhões) - Outros;InputSite_BusinessAreas ;3Q12;0,0000
Wealth Under Management (WuM) (R$ bilhões) - Total;InputSite_BusinessAreas ;3Q12;43,5020
Wealth Under Management (WuM) (R$ bilhões) - BTG Pactual;InputSite_BusinessAreas ;3Q12;43,5020
Wealth Under Management (WuM) (R$ bilhões) - BSI;InputSite_BusinessAreas ;3Q12;0,0000
Wealth Under Management (WuM) (R$ bilhões) - Total;InputSite_BusinessAreas ;3Q12;43,5020
Wealth Under Management (WuM) (R$ bilhões) - NNM BTG Pactual Stand-Alone;InputSite_BusinessAreas ;3Q12;0,9811
Wealth Under Management (WuM) (R$ bilhões) - NNM BSI Only;InputSite_BusinessAreas ;3Q12;0,0000
Principal Investments - Receitas;InputSite_BusinessAreas ;3Q12;0,0000
Participations* - Receitas;InputSite_BusinessAreas ;3Q12;-94,0972
Interest & Others - Receitas;InputSite_BusinessAreas ;3Q12;187,2206
Investment Banking - Receitas;InputSite_BusinessAreas ;4Q12;120,9947
Número de transações - Financial advisory (M&A);InputSite_BusinessAreas ;4Q12;15,0000
Número de transações - Equity underwriting (ECM);InputSite_BusinessAreas ;4Q12;11,0000
Número de transações - Debt underwriting (DCM);InputSite_BusinessAreas ;4Q12;13,0000
Valor (US$ mm) - Financial advisory (M&A);InputSite_BusinessAreas ;4Q12;3088,5300
Valor (US$ mm) - Equity underwriting (ECM);InputSite_BusinessAreas ;4Q12;1005,7100
Valor (US$ mm) - Debt underwriting (DCM);InputSite_BusinessAreas ;4Q12;1401,2862
Corporate & SME Lending - Receitas;InputSite_BusinessAreas ;4Q12;182,1168
Por Área - Corporate Lending;InputSite_BusinessAreas ;4Q12;30694,4538
Por Setor - Utilities;InputSite_BusinessAreas ;4Q12;0,1995
Por Setor - WM, Payroll and Consumer;InputSite_BusinessAreas ;4Q12;0,0000
Por Setor - Financials;InputSite_BusinessAreas ;4Q12;0,0022
Por Setor - Agribusiness;InputSite_BusinessAreas ;4Q12;0,0692
Por Setor - Retail;InputSite_BusinessAreas ;4Q12;0,0061
Por Setor - Real Estate;InputSite_BusinessAreas ;4Q12;0,0953
Por Setor - Oil & Gas;InputSite_BusinessAreas ;4Q12;0,0533
Por Setor - Food & Beverage;InputSite_BusinessAreas ;4Q12;0,0385
Por Setor - Metals & Mining;InputSite_BusinessAreas ;4Q12;0,0415
Por Setor - Water & Sewage;InputSite_BusinessAreas ;4Q12;0,0000
Por Setor - Infrastructure;InputSite_BusinessAreas ;4Q12;0,1804
Por Setor - Telecom;InputSite_BusinessAreas ;4Q12;0,0221
Por Setor - Government;InputSite_BusinessAreas ;4Q12;0,0000
Por Setor - Auto-Parts;InputSite_BusinessAreas ;4Q12;0,0013
Por Setor - Forest Products & Paper;InputSite_BusinessAreas ;4Q12;0,0000
Por Setor - Healthcare;InputSite_BusinessAreas ;4Q12;0,0000
Por Setor - Petrochemicals;InputSite_BusinessAreas ;4Q12;0,0058
Por Setor - Wealth Management;InputSite_BusinessAreas ;4Q12;0,0160
Por Setor - Outros;InputSite_BusinessAreas ;4Q12;0,2688
Por Setor - Total;InputSite_BusinessAreas ;4Q12;1,0000
Por Produto - Empréstimos;InputSite_BusinessAreas ;4Q12;8562,6160
Por Produto - Fundos;InputSite_BusinessAreas ;4Q12;3177,5000
Por Produto - Fianças;InputSite_BusinessAreas ;4Q12;9839,7499
Por Produto - Instrumentos financeiros;InputSite_BusinessAreas ;4Q12;12190,0184
Por Produto - Total;InputSite_BusinessAreas ;4Q12;33769,8843
Por Área - Corporate & SME Lending;InputSite_BusinessAreas ;4Q12;30694,4538
Por Área - Corporate Lending;InputSite_BusinessAreas ;4Q12;30694,4538
Por Área - SME Lending;InputSite_BusinessAreas ;4Q12;0,0000
Por Área - Wealth Management;InputSite_BusinessAreas ;4Q12;493,8319
Por Área - Liquidity Management;InputSite_BusinessAreas ;4Q12;1855,2964
Por Área - Merchant Banking;InputSite_BusinessAreas ;4Q12;549,9601
Por Área - Celfin;InputSite_BusinessAreas ;4Q12;176,3319
Por Área - Commodities;InputSite_BusinessAreas ;4Q12;0,0000
Por Área - Outros;InputSite_BusinessAreas ;4Q12;0,0000
Por Área - Wealth Management e Outros;InputSite_BusinessAreas ;4Q12;3075,4203
Por Área - Total;InputSite_BusinessAreas ;4Q12;33769,8742
Por classificação de risco - AA;InputSite_BusinessAreas ;4Q12;11671,8523
Por classificação de risco - A;InputSite_BusinessAreas ;4Q12;14887,9835
Por classificação de risco - B;InputSite_BusinessAreas ;4Q12;5505,1047
Por classificação de risco - C;InputSite_BusinessAreas ;4Q12;769,6914
Por classificação de risco - D;InputSite_BusinessAreas ;4Q12;182,6254
Por classificação de risco - E;InputSite_BusinessAreas ;4Q12;606,2494
Por classificação de risco - F;InputSite_BusinessAreas ;4Q12;11,6544
Por classificação de risco - G;InputSite_BusinessAreas ;4Q12;28,5992
Por classificação de risco - H;InputSite_BusinessAreas ;4Q12;106,1239
Por classificação de risco - Total;InputSite_BusinessAreas ;4Q12;33769,8843
Portfolio BSI por Produto - Due from customers;InputSite_BusinessAreas ;4Q12;0,0000
Portfolio BSI por Produto - Mortgage;InputSite_BusinessAreas ;4Q12;0,0000
Portfolio BSI por Produto - Fiança;InputSite_BusinessAreas ;4Q12;0,0000
Portfolio BSI por Produto - Total;InputSite_BusinessAreas ;4Q12;0,0000
Portfolio BSI por Produto - Provisão;InputSite_BusinessAreas ;4Q12;-191,4537
Sales & Trading - Receitas;InputSite_BusinessAreas ;4Q12;213,8304
Asset Management - Receitas;InputSite_BusinessAreas ;4Q12;636,5018
AUM & AUA (R$ bilhões) - Renda fixa e ações;InputSite_BusinessAreas ;4Q12;96,0909
AUM & AUA (R$ bilhões) - Administração fiduciária;InputSite_BusinessAreas ;4Q12;41,0469
AUM & AUA (R$ bilhões) - Merchant banking e imobiliários;InputSite_BusinessAreas ;4Q12;20,6023
AUM & AUA (R$ bilhões) - Hedge funds globais;InputSite_BusinessAreas ;4Q12;12,9537
AUM & AUA (R$ bilhões) - Total;InputSite_BusinessAreas ;4Q12;170,6938
AUM & AUA (R$ bilhões) - Indivíduos de alto patrimônio;InputSite_BusinessAreas ;4Q12;27,5286
AUM & AUA (R$ bilhões) - Institucionais;InputSite_BusinessAreas ;4Q12;22,6020
AUM & AUA (R$ bilhões) - Intermediários financeiros (distribuição para terceiros);InputSite_BusinessAreas ;4Q12;18,7152
AUM & AUA (R$ bilhões) - Empresas;InputSite_BusinessAreas ;4Q12;30,3291
AUM & AUA (R$ bilhões) - Administração fiduciária;InputSite_BusinessAreas ;4Q12;26,7831
AUM & AUA (R$ bilhões) - Outros;InputSite_BusinessAreas ;4Q12;44,7357
AUM & AUA (R$ bilhões) - Total;InputSite_BusinessAreas ;4Q12;170,6938
AUM & AUA (R$ bilhões) - Net New Money (NNM);InputSite_BusinessAreas ;4Q12;8,2093
Wealth Management & Consumer Banking - Receitas (BTGP Only);InputSite_BusinessAreas ;4Q12;74,3406
Wealth Management & Consumer Banking - Receitas (BSI);InputSite_BusinessAreas ;4Q12;0,0000
Wealth Management & Consumer Banking - Receitas;InputSite_BusinessAreas ;4Q12;74,3406
Wealth Under Management (WuM) (R$ bilhões) - Fundos;InputSite_BusinessAreas ;4Q12;33,4889
Wealth Under Management (WuM) (R$ bilhões) - Ações;InputSite_BusinessAreas ;4Q12;19,5657
Wealth Under Management (WuM) (R$ bilhões) - Renda Fixa;InputSite_BusinessAreas ;4Q12;8,0020
Wealth Under Management (WuM) (R$ bilhões) - Money Market;InputSite_BusinessAreas ;4Q12;0,7134
Wealth Under Management (WuM) (R$ bilhões) - Derivativos;InputSite_BusinessAreas ;4Q12;0,4349
Wealth Under Management (WuM) (R$ bilhões) - Outros;InputSite_BusinessAreas ;4Q12;0,0000
Wealth Under Management (WuM) (R$ bilhões) - Total;InputSite_BusinessAreas ;4Q12;62,2049
Wealth Under Management (WuM) (R$ bilhões) - BTG Pactual;InputSite_BusinessAreas ;4Q12;62,2049
Wealth Under Management (WuM) (R$ bilhões) - BSI;InputSite_BusinessAreas ;4Q12;0,0000
Wealth Under Management (WuM) (R$ bilhões) - Total;InputSite_BusinessAreas ;4Q12;62,2049
Wealth Under Management (WuM) (R$ bilhões) - NNM BTG Pactual Stand-Alone;InputSite_BusinessAreas ;4Q12;5,5808
Wealth Under Management (WuM) (R$ bilhões) - NNM BSI Only;InputSite_BusinessAreas ;4Q12;0,0000
Principal Investments - Receitas;InputSite_BusinessAreas ;4Q12;0,0000
Participations* - Receitas;InputSite_BusinessAreas ;4Q12;-31,5824
Interest & Others - Receitas;InputSite_BusinessAreas ;4Q12;132,6466
Investment Banking - Receitas;InputSite_BusinessAreas ;2012;448,0479
Número de transações - Financial advisory (M&A);InputSite_BusinessAreas ;2012;87,0000
Número de transações - Equity underwriting (ECM);InputSite_BusinessAreas ;2012;18,0000
Número de transações - Debt underwriting (DCM);InputSite_BusinessAreas ;2012;48,0000
Valor (US$ mm) - Financial advisory (M&A);InputSite_BusinessAreas ;2012;28869,1300
Valor (US$ mm) - Equity underwriting (ECM);InputSite_BusinessAreas ;2012;1771,2100
Valor (US$ mm) - Debt underwriting (DCM);InputSite_BusinessAreas ;2012;5732,1667
Corporate & SME Lending - Receitas;InputSite_BusinessAreas ;2012;563,5889
Por Área - Corporate Lending;InputSite_BusinessAreas ;2012;30694,4538
Por Setor - Utilities;InputSite_BusinessAreas ;2012;0,1995
Por Setor - WM, Payroll and Consumer;InputSite_BusinessAreas ;2012;0,0000
Por Setor - Financials;InputSite_BusinessAreas ;2012;0,0022
Por Setor - Agribusiness;InputSite_BusinessAreas ;2012;0,0692
Por Setor - Retail;InputSite_BusinessAreas ;2012;0,0061
Por Setor - Real Estate;InputSite_BusinessAreas ;2012;0,0953
Por Setor - Oil & Gas;InputSite_BusinessAreas ;2012;0,0533
Por Setor - Food & Beverage;InputSite_BusinessAreas ;2012;0,0385
Por Setor - Metals & Mining;InputSite_BusinessAreas ;2012;0,0415
Por Setor - Water & Sewage;InputSite_BusinessAreas ;2012;0,0000
Por Setor - Infrastructure;InputSite_BusinessAreas ;2012;0,1804
Por Setor - Telecom;InputSite_BusinessAreas ;2012;0,0221
Por Setor - Government;InputSite_BusinessAreas ;2012;0,0000
Por Setor - Auto-Parts;InputSite_BusinessAreas ;2012;0,0013
Por Setor - Forest Products & Paper;InputSite_BusinessAreas ;2012;0,0000
Por Setor - Healthcare;InputSite_BusinessAreas ;2012;0,0000
Por Setor - Petrochemicals;InputSite_BusinessAreas ;2012;0,0058
Por Setor - Wealth Management;InputSite_BusinessAreas ;2012;0,0160
Por Setor - Outros;InputSite_BusinessAreas ;2012;0,2688
Por Setor - Total;InputSite_BusinessAreas ;2012;1,0000
Por Produto - Empréstimos;InputSite_BusinessAreas ;2012;8562,6160
Por Produto - Fundos;InputSite_BusinessAreas ;2012;3177,5000
Por Produto - Fianças;InputSite_BusinessAreas ;2012;9839,7499
Por Produto - Instrumentos financeiros;InputSite_BusinessAreas ;2012;12190,0184
Por Produto - Total;InputSite_BusinessAreas ;2012;33769,8843
Por Área - Corporate & SME Lending;InputSite_BusinessAreas ;2012;30694,4538
Por Área - Corporate Lending;InputSite_BusinessAreas ;2012;30694,4538
Por Área - SME Lending;InputSite_BusinessAreas ;2012;0,0000
Por Área - Wealth Management;InputSite_BusinessAreas ;2012;493,8319
Por Área - Liquidity Management;InputSite_BusinessAreas ;2012;1855,2964
Por Área - Merchant Banking;InputSite_BusinessAreas ;2012;549,9601
Por Área - Celfin;InputSite_BusinessAreas ;2012;176,3319
Por Área - Commodities;InputSite_BusinessAreas ;2012;0,0000
Por Área - Outros;InputSite_BusinessAreas ;2012;0,0000
Por Área - Wealth Management e Outros;InputSite_BusinessAreas ;2012;3075,4203
Por Área - Total;InputSite_BusinessAreas ;2012;33769,8742
Por classificação de risco - AA;InputSite_BusinessAreas ;2012;11671,8523
Por classificação de risco - A;InputSite_BusinessAreas ;2012;14887,9835
Por classificação de risco - B;InputSite_BusinessAreas ;2012;5505,1047
Por classificação de risco - C;InputSite_BusinessAreas ;2012;769,6914
Por classificação de risco - D;InputSite_BusinessAreas ;2012;182,6254
Por classificação de risco - E;InputSite_BusinessAreas ;2012;606,2494
Por classificação de risco - F;InputSite_BusinessAreas ;2012;11,6544
Por classificação de risco - G;InputSite_BusinessAreas ;2012;28,5992
Por classificação de risco - H;InputSite_BusinessAreas ;2012;106,1239
Por classificação de risco - Total;InputSite_BusinessAreas ;2012;33769,8843
Portfolio BSI por Produto - Due from customers;InputSite_BusinessAreas ;2012;0,0000
Portfolio BSI por Produto - Mortgage;InputSite_BusinessAreas ;2012;0,0000
Portfolio BSI por Produto - Fiança;InputSite_BusinessAreas ;2012;0,0000
Portfolio BSI por Produto - Total;InputSite_BusinessAreas ;2012;0,0000
Portfolio BSI por Produto - Provisão;InputSite_BusinessAreas ;2012;-191,4537
Sales & Trading - Receitas;InputSite_BusinessAreas ;2012;1516,5696
Asset Management - Receitas;InputSite_BusinessAreas ;2012;1190,2456
AUM & AUA (R$ bilhões) - Renda fixa e ações;InputSite_BusinessAreas ;2012;96,0909
AUM & AUA (R$ bilhões) - Administração fiduciária;InputSite_BusinessAreas ;2012;41,0469
AUM & AUA (R$ bilhões) - Merchant banking e imobiliários;InputSite_BusinessAreas ;2012;20,6023
AUM & AUA (R$ bilhões) - Hedge funds globais;InputSite_BusinessAreas ;2012;12,9537
AUM & AUA (R$ bilhões) - Total;InputSite_BusinessAreas ;2012;170,6938
AUM & AUA (R$ bilhões) - Indivíduos de alto patrimônio;InputSite_BusinessAreas ;2012;27,5286
AUM & AUA (R$ bilhões) - Institucionais;InputSite_BusinessAreas ;2012;22,6020
AUM & AUA (R$ bilhões) - Intermediários financeiros (distribuição para terceiros);InputSite_BusinessAreas ;2012;18,7152
AUM & AUA (R$ bilhões) - Empresas;InputSite_BusinessAreas ;2012;30,3291
AUM & AUA (R$ bilhões) - Administração fiduciária;InputSite_BusinessAreas ;2012;26,7831
AUM & AUA (R$ bilhões) - Outros;InputSite_BusinessAreas ;2012;44,7357
AUM & AUA (R$ bilhões) - Total;InputSite_BusinessAreas ;2012;170,6938
AUM & AUA (R$ bilhões) - Net New Money (NNM);InputSite_BusinessAreas ;2012;18,3812
Wealth Management & Consumer Banking - Receitas (BTGP Only);InputSite_BusinessAreas ;2012;201,6914
Wealth Management & Consumer Banking - Receitas (BSI);InputSite_BusinessAreas ;2012;0,0000
Wealth Management & Consumer Banking - Receitas;InputSite_BusinessAreas ;2012;201,6998
Wealth Under Management (WuM) (R$ bilhões) - Fundos;InputSite_BusinessAreas ;2012;33,4889
Wealth Under Management (WuM) (R$ bilhões) - Ações;InputSite_BusinessAreas ;2012;19,5657
Wealth Under Management (WuM) (R$ bilhões) - Renda Fixa;InputSite_BusinessAreas ;2012;8,0020
Wealth Under Management (WuM) (R$ bilhões) - Money Market;InputSite_BusinessAreas ;2012;0,7134
Wealth Under Management (WuM) (R$ bilhões) - Derivativos;InputSite_BusinessAreas ;2012;0,4349
Wealth Under Management (WuM) (R$ bilhões) - Outros;InputSite_BusinessAreas ;2012;0,0000
Wealth Under Management (WuM) (R$ bilhões) - Total;InputSite_BusinessAreas ;2012;62,2049
Wealth Under Management (WuM) (R$ bilhões) - BTG Pactual;InputSite_BusinessAreas ;2012;62,2049
Wealth Under Management (WuM) (R$ bilhões) - BSI;InputSite_BusinessAreas ;2012;0,0000
Wealth Under Management (WuM) (R$ bilhões) - Total;InputSite_BusinessAreas ;2012;62,2049
Wealth Under Management (WuM) (R$ bilhões) - NNM BTG Pactual Stand-Alone;InputSite_BusinessAreas ;2012;8,3777
Wealth Under Management (WuM) (R$ bilhões) - NNM BSI Only;InputSite_BusinessAreas ;2012;0,0000
Principal Investments - Receitas;InputSite_BusinessAreas ;2012;0,0000
Participations* - Receitas;InputSite_BusinessAreas ;2012;-244,4812
Interest & Others - Receitas;InputSite_BusinessAreas ;2012;587,1992
Investment Banking - Receitas;InputSite_BusinessAreas ;1Q13;103,9554
Número de transações - Financial advisory (M&A);InputSite_BusinessAreas ;1Q13;8,0000
Número de transações - Equity underwriting (ECM);InputSite_BusinessAreas ;1Q13;5,0000
Número de transações - Debt underwriting (DCM);InputSite_BusinessAreas ;1Q13;18,0000
Valor (US$ mm) - Financial advisory (M&A);InputSite_BusinessAreas ;1Q13;1982,2700
Valor (US$ mm) - Equity underwriting (ECM);InputSite_BusinessAreas ;1Q13;606,8580
Valor (US$ mm) - Debt underwriting (DCM);InputSite_BusinessAreas ;1Q13;2378,0350
Corporate & SME Lending - Receitas;InputSite_BusinessAreas ;1Q13;210,1517
Por Área - Corporate Lending;InputSite_BusinessAreas ;1Q13;33077,2095
Por Setor - Utilities;InputSite_BusinessAreas ;1Q13;0,2017
Por Setor - WM, Payroll and Consumer;InputSite_BusinessAreas ;1Q13;0,0000
Por Setor - Financials;InputSite_BusinessAreas ;1Q13;0,0020
Por Setor - Agribusiness;InputSite_BusinessAreas ;1Q13;0,0715
Por Setor - Retail;InputSite_BusinessAreas ;1Q13;0,0479
Por Setor - Real Estate;InputSite_BusinessAreas ;1Q13;0,1061
Por Setor - Oil & Gas;InputSite_BusinessAreas ;1Q13;0,0422
Por Setor - Food & Beverage;InputSite_BusinessAreas ;1Q13;0,0353
Por Setor - Metals & Mining;InputSite_BusinessAreas ;1Q13;0,0325
Por Setor - Water & Sewage;InputSite_BusinessAreas ;1Q13;0,0000
Por Setor - Infrastructure;InputSite_BusinessAreas ;1Q13;0,1667
Por Setor - Telecom;InputSite_BusinessAreas ;1Q13;0,0192
Por Setor - Government;InputSite_BusinessAreas ;1Q13;0,0000
Por Setor - Auto-Parts;InputSite_BusinessAreas ;1Q13;0,0010
Por Setor - Forest Products & Paper;InputSite_BusinessAreas ;1Q13;0,0000
Por Setor - Healthcare;InputSite_BusinessAreas ;1Q13;0,0000
Por Setor - Petrochemicals;InputSite_BusinessAreas ;1Q13;0,0045
Por Setor - Wealth Management;InputSite_BusinessAreas ;1Q13;0,0198
Por Setor - Outros;InputSite_BusinessAreas ;1Q13;0,2496
